tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-05-14,10,37.1,823,57.2,,1.5,,0.04,30,99.3,,
2019-05-14,10,9.5,698,36,,1.7,,0.05,38,85.5,,
2019-05-08,9,36.7,409,19.5,,1.4,,0.015,27.4,227.2,,
2019-05-08,9,38.9,392,18.7,,1.5,,0.014,26.3,197.8,,
2019-03-27,9,59.1,559,32,,0.5,,,,,,
2019-03-27,9,56.9,522,44.1,,0.6,,,,,,
2019-06-08,9,24.8,801,14,,1.8,,0.019,22,165.6,,
2019-06-08,9,29.9,520,16.6,,2,,0.016,12.3,125.2,,
2019-03-29,9,64.6,624,34.9,,0.2,,0.017,31.2,340.7,,
2019-03-29,9,66.9,575,40.2,,0.3,,0.018,14.5,232.2,,
2019-04-02,9,43.7,783,19.2,,0.4,,0.013,18.5,204.7,,
2019-04-02,9,46.2,831,18.4,,0.5,,0.013,18.5,235.8,,
2019-05-07,9,41.3,502,23,,0.2,,,,,,
2019-05-07,9,36.1,534,18.6,,0.2,,,,,,
2019-06-03,9,47.3,660,15.7,,0.3,,,,,,
2019-06-03,9,45.6,631,19.5,,0.6,,,,,,
2019-06-16,9,55.1,496,31.2,,0.3,,0,0,0,,
2019-06-16,9,49.2,413,34.8,,0.1,,0,0,0,,
2019-01-25,9,43.1,716,10.7,,0.5,,,,,,
2019-01-25,9,40.6,673,16.8,,0.4,,,,,,
2019-03-08,9,35.9,682,13.8,,0.2,,0.004,11.1,267,,
2019-03-08,9,45.8,880,12.8,,0.2,,0.003,22.2,170.6,,
2019-05-15,9,38.7,787,13.5,,0.5,,0.003,21.1,122.6,,
2019-05-15,9,37.7,764,17.7,,0.2,,0.002,23.7,104.1,,
2019-06-17,9,31.2,529,21.1,,0.4,,0.02,28.6,73.4,,
2019-06-17,9,33.5,585,32.1,,0.2,,0.029,18.2,93.1,,
2019-06-25,10,41,510,24.7,,1.9,,,,,,
2019-06-25,10,41.9,542,25.2,,1.7,,,,,,
2019-05-28,10,40.4,629,15.1,,0.3,,,,,,
2019-05-28,10,48.8,731,29.7,,0.6,,,,,,
2019-05-28,10,52.8,658,19.8,,0.7,,,,,,
2019-06-12,9,26.6,837,57.1,,2.1,,0.02,21.2,68.4,,
2019-06-12,9,29.3,806,42.4,,1.8,,0.018,16.2,38.1,,
2019-06-18,9,28.2,1817,35.2,,1.1,,0.016,14.7,170.2,,
2019-06-18,9,30.9,1201,36.1,,1,,0.015,12.8,176,,
2019-06-18,10,32.9,645,21.3,,1,,0.02,9.1,56.6,,
2019-06-18,10,27.3,1196,52.2,,0.6,,0.018,20.7,103.4,,
2019-03-27,10,68.3,689,19.2,,1.2,,0.011,90,116.8,,
2019-03-27,10,71.8,704,25.5,,1.2,,0.011,60,103,,
2019-05-07,10,46.3,658,51.2,,1,,,,,,
2019-05-07,10,54.3,626,35.4,,1.7,,,,,,
2019-06-13,12,49.1,753,23.6,,1.8,,0.018,9.9,70.1,,
2019-06-13,12,39.1,840,29.8,,2.2,,0.02,9.6,72,,
2019-03-25,11,45.2,818,21.1,,4.3,,0.013,22.2,196.3,,
2019-03-25,11,40.8,825,16.7,,4.2,,0.017,59.6,119.7,,
2019-06-11,12,43.3,574,16.3,,1,,,,,,
2019-06-11,12,38.3,594,50.8,,1.3,,,,,,
2019-06-11,9,41.4,593,53.1,,1.3,,,,,,
2019-06-11,9,39,588,30.6,,1.2,,,,,,
2019-03-06,9,35.9,657,62.7,,0.7,,,,,,
2019-03-06,10,37.5,692,49.4,,0.9,,,,,,
2019-05-09,10,63.9,672,62,,0.8,,0.027,16.4,164,,
2019-05-09,10,57.9,658,69.6,,0.7,,0.019,13.3,107.4,,
2019-06-19,9,31.4,539,22.9,,0.4,,0.017,8.9,57.1,,
2019-06-19,9,27.3,927,27.3,,0.6,,0.017,14.4,111.2,,
2019-06-19,8,47.2,726,90.8,,0.9,,,,,,
2019-06-19,8,43.7,811,35,,0.7,,,,,,
2019-04-11,9,36.9,638,18.7,,0.9,,,,,,
2019-04-11,9,85.5,552,19.7,,0.9,,,,,,
2019-04-12,10,45.6,917,17.1,,1.3,,0.024,26,76.2,,
2019-04-12,10,46,680,18.6,,1.3,,0.023,37,63.3,,
2019-06-10,9,36.1,719,14.5,,0.6,,,,,,
2019-06-10,9,38,806,29.8,,0.9,,,,,,
2019-06-13,9,46.6,613,19.2,,1.6,,0.014,49.6,20.5,,
2019-06-13,9,49.4,433,17.6,,1.8,,0.017,49.6,55,,
2019-01-25,10,35.3,828,21.6,,0.7,,,,,,
2019-01-25,10,64.9,844,25.1,,0.9,,,,,,
2019-05-14,9,24.9,651,33.6,,1.3,,,,,,
2019-05-14,9,45.6,575,42.6,,1.5,,,,,,
2019-06-11,10,52.5,439,25,,1.1,,,,,,
2019-06-11,10,52.9,499,33.7,,1,,,,,,
2019-03-25,16,42.3,847,17.9,,4.3,,0.015,21.4,214.6,,
2019-03-25,16,44.5,834,17.4,,3.8,,0.019,23.9,193.3,,
2019-07-12,9,43.6,729,20.9,,1.3,,,,,,
2019-07-12,9,48.1,765,26.9,,1.6,,,,,,
2019-06-19,10,15.6,1025,68,,0.3,,0.012,15.6,187.7,,
2019-06-19,10,17,852,81.8,,0.4,,0.014,23.2,234.4,,
2019-05-14,9,26.4,496,11.9,,0.5,,,,,,
2019-05-14,9,31.3,590,11.1,,0.4,,,,,,
2019-05-21,11,50.5,453,19.6,,0.4,,,,,,
2019-05-21,11,48.7,517,25.2,,0.5,,,,,,
2019-03-28,9,66.3,617,14.8,,1.3,,,,,,
2019-03-28,9,68.1,674,30.2,,1.2,,,,,,
2019-03-28,9,67.1,774,28.4,,1.2,,,,,,
2019-03-28,9,64.8,748,42.7,,1.2,,,,,,
2019-06-25,10,47.8,488,52.7,,1.6,,0.024,22.2,0,,
2019-06-25,10,40.4,511,41.2,,1.5,,0.026,18.5,0,,
2019-02-15,10,21.4,718,27,,2.1,,,,,,
2019-02-15,10,37.1,796,23.8,,2.2,,,,,,
2019-06-12,9,44.4,785,9.9,,0.7,,,,,,
2019-06-12,9,48.4,805,22,,0.6,,,,,,
2019-06-19,16,8.8,777,22.7,,2.4,,,,,,
2019-06-19,16,49.2,921,61,,2.1,,,,,,
2019-05-17,9,34.9,629,37,,0.9,,0.009,8,187.2,,
2019-05-17,9,29.2,647,27.5,,0.8,,0.011,11.3,159.1,,
2019-05-07,11,58.5,368,11.7,,1.2,,0.024,15,15,,
2019-05-07,11,56.3,510,11.7,,1.1,,0.023,11,38.7,,
2019-08-12,9,27.7,694,86.7,,1.1,,,,,,
2019-08-12,9,25.5,626,88.2,,1,,,,,,
2019-06-05,9,43.4,876,13.7,,1.9,,,,,,
2019-06-05,9,39,894,12.5,,1.9,,,,,,
2019-06-05,9,26.8,526,19.1,,1.9,,,,,,
2019-06-05,9,31.8,798,21.1,,1.9,,,,,,
2019-06-15,10,39,553,12,,0.7,,,,,,
2019-06-15,10,42.7,593,12.4,,1,,,,,,
2019-06-10,10,57.9,644,43.5,,0.4,,0,0,0,,
2019-06-10,10,61.3,635,36.2,,0.5,,0,0,0,,
2019-06-14,9,35.5,905,12,,1.7,,,,,,
2019-06-14,9,31.7,779,77,,1.9,,,,,,
2019-09-17,9,69,614,16.4,,1.3,,,,,,
2019-09-17,9,77.7,607,9.1,,1.4,,,,,,
2019-09-17,12,39.5,794,33,,1.8,,0.01,16.3,54.7,,
2019-09-17,12,44.9,826,31.6,,1.6,,0.011,14.5,101.3,,
2019-06-10,10,66.2,542,14.6,,0.7,,0,0,0,,
2019-06-10,10,63.6,531,11.8,,1.2,,0,0,0,,
2019-07-22,9,42.2,683,10,,0.8,,0.01,54,150,,
2019-07-22,11,48.8,758,27.1,,0.7,,0.008,32,84.2,,
2019-02-20,11,28.4,562,48.2,,2.2,,0.013,10.8,120.5,,
