tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-04-12,10,49.6,468,27.8,,1,,,,,,
2019-04-12,12,88.5,448,15.5,,0.9,,,,,,
2019-04-12,9,39.9,462,35.8,,1.2,,,,,,
2019-04-15,8,48,453,21.7,,0.8,,,,,,
2019-04-15,11,82.2,455,18.5,,0.8,,,,,,
2019-04-10,12,51.6,421,45.9,,1.5,,,,,,
2019-04-10,14,37.4,409,26.6,,1.7,,,,,,
2019-04-11,9,39.7,407,73.3,,0.7,,,,,,
2019-04-11,13,40.3,406,24.9,,0.7,,,,,,
2019-04-09,9,40.3,393,46.2,,1,,,,,,
2019-04-09,11,41.5,407,27.8,,0.9,,,,,,
2019-04-09,13,67.1,425,19.6,,1.2,,,,,,
2019-04-10,9,20.6,418,35.7,,1.6,,,,,,
2019-04-10,11,29.7,449,26.3,,1.6,,,,,,
2019-04-22,12,40.4,401,8.6,,0.9,,,,,,
2019-04-22,14,36.3,425,7.7,,0.8,,,,,,
2019-04-17,12,42.2,418,7.2,,0.6,,,,,,
2019-04-17,9,45.5,451,10.2,,0.7,,,,,,
2019-04-17,10,40,425,7.1,,0.6,,,,,,
2019-04-16,13,45,421,20.9,,1,,,,,,
2019-04-16,14,34.8,400,22.2,,1.2,,,,,,
2019-04-22,8,20.1,482,9.5,,0.4,,,,,,
2019-04-22,10,25.9,438,9.7,,0.3,,,,,,
2019-04-19,8,34.7,430,25.6,,0.6,,,,,,
2019-04-19,10,33,414,21.4,,0.6,,,,,,
2019-04-16,9,50.4,504,12.4,,1.8,,,,,,
2019-04-16,11,62,514,12.6,,1.1,,,,,,
2019-04-19,12,55.8,417,5.8,,0.6,,,,,,
2019-04-19,13,66.3,412,2.7,,0.7,,,,,,
2019-04-18,8,34.7,478,24.2,,0.8,,,,,,
2019-04-18,10,40.5,448,20.1,,0.6,,,,,,
2019-03-19,9,39.1,361,7.2,,0.7,,0.015,49,49.9,,
2019-03-19,9,51.8,392,8.1,,0.6,,0.018,17,30.7,,
2019-03-15,9,32.3,374,10.8,,0.4,,0.031,17,29.1,,
2019-03-15,9,34.7,377,6.2,,0.3,,0.025,33,12.3,,
2019-03-15,9,35.2,397,10.1,,0.4,,0.04,36,21.8,,
2019-03-15,9,27,391,8.4,,0.5,,0.037,30,24.3,,
2019-03-18,9,34.8,483,11.3,,0.4,,0.044,25,33.8,,
2019-03-18,9,36.3,458,8.7,,0.6,,0.042,36,32.6,,
2019-03-19,9,43.1,462,6.6,,0.8,,0.038,19,44.1,,
2019-03-19,9,52.3,412,8.2,,1.1,,0.047,22,38.5,,
2019-03-18,9,45.5,391,6.9,,0.5,,0.041,38,80.8,,
2019-03-18,9,50.2,387,7.3,,0.6,,0.042,27,54.6,,
2019-04-17,9,44.1,492,6.7,,1.6,,,,,,
2019-04-17,9,61.3,414,9.8,,1.4,,,,,,
