tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-05-28,10,76.2,542,8.5,,1.2,,,,,,
2019-02-18,9,79,354,10.1,,5,,0.072,15.6,144.8,,
2019-02-18,9,51.8,581,14.2,,8.9,,0.05,25.6,674.6,,
2019-04-18,9,40.9,538,31.9,,6.4,,0.052,49.7,581.1,,
2019-04-18,9,43.9,484,27.9,,1.9,,0.056,42.4,499.6,,
2019-04-05,9,96.2,641,14.4,,1.3,,,,,,
2019-04-05,9,89.2,679,20.7,,2.2,,,,,,
2019-04-18,8,115.5,575,10.7,,1.7,,,,,,
2019-04-18,8,125.8,571,23,,1.5,,,,,,
2019-10-15,10,20,618,16.2,,3.2,,0.032,14,67.2,,
2019-10-15,10,25.3,522,9.3,,2.3,,0.049,12,37.6,,
2019-04-01,10,92,537,19.4,,7.6,,,,,,
2019-04-01,10,71.8,686,16.6,,4.5,,,,,,
2019-06-13,9,72.6,726,13.4,,2.2,,,,,,
2019-06-13,9,75.5,763,12.5,,2.4,,,,,,
2019-06-13,9,74.5,747,13.1,,2.4,,,,,,
2019-06-13,9,73.8,772,12.7,,2.5,,,,,,
2019-06-13,8,74.6,697,11.7,,2.2,,,,,,
2019-06-13,8,72.2,713,9.7,,2.5,,,,,,
2019-06-13,8,76.2,729,15.6,,2.4,,,,,,
2019-06-13,8,78,756,12,,2.2,,,,,,
2019-06-19,9,105.2,624,46.1,,3.5,,0.054,70.1,680.4,,
2019-06-19,9,94.8,611,13.5,,3.1,,0.062,71.3,553.6,,
2019-05-14,10,100.9,802,15.9,,2.7,,0.038,102,360.1,,
2019-05-14,10,87.3,732,14.5,,3,,0.043,82,283.8,,
2019-05-14,10,93.6,708,14.1,,2.4,,0.042,39,403.2,,
2019-06-05,10,82.8,654,37.1,,2.2,,,,,,
2019-06-05,10,82.7,946,48.3,,4.6,,,,,,
2019-06-05,11,88.6,893,46.5,,4.7,,,,,,
2019-06-05,11,72.6,820,50.6,,5.9,,,,,,
2019-06-05,11,72,856,47,,5.8,,,,,,
2019-06-05,11,83.8,881,54.7,,6.1,,,,,,
2019-04-09,10,75.2,818,30.4,,2.5,,0.037,23.8,723.9,,
2019-04-09,10,73,619,23.7,,1.9,,0.029,22.1,456.2,,
2019-06-28,10,32.4,909,13.6,,5.4,,0.035,41.4,78.7,,
2019-06-28,10,24.3,996,22.8,,6,,0.045,39.8,95.2,,
2019-05-27,10,21.9,598,17.3,,2,,0.035,52.5,146.6,,
2019-05-27,10,14.6,753,21.3,,4,,0.048,31.6,180.5,,
2019-05-27,10,37.2,673,17.1,,4,,0.041,46.4,183,,
2019-06-17,8,45.8,485,6.1,,0.9,,0.044,24,87.6,,
2019-06-17,8,49,511,7.5,,1.3,,0.055,25.3,91.5,,
2019-04-16,10,76,672,10.2,,1.4,,0.025,27,111.9,,
2019-04-16,10,69,568,11,,1.1,,0.024,36,164.9,,
2019-04-25,9,152.8,878,26.3,,5.8,,,,,,
2019-04-25,9,110.1,839,31.5,,9,,,,,,
2019-05-16,9,90.2,674,16.8,,3.4,,0.036,18.3,853.1,,
2019-05-16,9,83.4,652,35,,3,,0.033,31.9,571.5,,
2019-06-17,17,60.7,591,26.1,,2.2,,,,,,
2019-06-17,17,53.4,637,15.2,,3.8,,,,,,
