serno,tmfc,tmfc_d,ID,tmfc_h,pm10,pm25,pm1,humi,temp,hcho,co,no2,rn,voc,co2,tab
AMI242210004,2.0221E+13,20221013,121,2,8,5.4,5.1,35.8,22.9,164.53,1.26,0,1.3,0,583,0
AMI242210004,2.0221E+13,20221013,122,2,8.1,5.4,5.1,35.9,22.9,164.13,1.27,0,1.3,0,582,0
AMI242210004,2.0221E+13,20221013,123,2,7.9,5.6,5.3,36,23,164.53,1.26,0,1.3,0,580,0
AMI242210004,2.0221E+13,20221013,124,2,7.8,5.5,5.2,35.9,22.9,164.53,1.26,0,1.3,0,579,0
AMI242210004,2.0221E+13,20221013,125,2,7.3,5,4.7,35.9,22.9,164.32,1.26,0,1.3,0,577,0
AMI242210004,2.0221E+13,20221013,126,2,8.3,5.6,5.3,36,22.9,164.33,1.26,0,1.3,0,576,0
AMI242210004,2.0221E+13,20221013,127,2,8.1,5.6,5.3,35.9,22.9,164.54,1.25,0,1.1,0,575,0
AMI242210004,2.0221E+13,20221013,128,2,8.8,5.3,5,35.8,22.9,136.91,1.04,0,1.1,0,574,0
AMI242210004,2.0221E+13,20221013,129,2,7.5,5,4.7,35.9,22.9,164.33,1.25,0,1.1,0,572,0
AMI242210004,2.0221E+13,20221013,130,2,7.3,5.3,5,36,22.9,164.54,1.25,0,1.1,0,571,0
AMI242210004,2.0221E+13,20221013,131,2,8.3,5.6,5.3,36,22.9,164.54,1.25,0,1.1,0,571,0
AMI242210004,2.0221E+13,20221013,132,2,7.8,5.6,5.3,35.9,23,164.54,1.25,0,1.1,0,570,0
AMI242210004,2.0221E+13,20221013,133,2,7.7,5.4,5.1,36,22.8,164.53,1.25,0,1.1,0,568,0
AMI242210004,2.0221E+13,20221013,134,2,7.5,5.4,5.1,36,22.9,164.54,1.25,0,1.1,0,568,0
AMI242210004,2.0221E+13,20221013,135,2,7.5,5.4,5.1,36.1,22.9,164.54,1.24,0,1.1,0,568,0
AMI242210004,2.0221E+13,20221013,136,2,7.5,5.4,5.1,36.1,22.9,164.54,1.24,0,1.1,0,568,0
AMI242210004,2.0221E+13,20221013,137,2,7.3,5,4.7,35.8,23,164.54,1.24,0,1.1,0,568,0
AMI242210004,2.0221E+13,20221013,138,2,7.3,5,4.7,36,22.9,164.15,1.25,0,1.1,0,568,0
AMI242210004,2.0221E+13,20221013,139,2,6.8,4.9,4.7,36,22.9,164.55,1.24,0,0.7,0,568,0
AMI242210004,2.0221E+13,20221013,140,2,7.1,5.3,5,35.9,22.9,164.55,1.23,0,0.7,0,567,0
AMI242210004,2.0221E+13,20221013,141,2,7,4.9,4.7,35.9,22.9,164.54,1.23,0,0.7,0,566,0
AMI242210004,2.0221E+13,20221013,142,2,7,4.9,4.7,35.9,22.9,164.55,1.24,0,0.7,0,566,0
AMI242210004,2.0221E+13,20221013,143,2,7.3,4.8,4.6,35.9,23,164.55,1.23,0,0.7,0,566,0
AMI242210004,2.0221E+13,20221013,144,2,7.7,5.3,5,36,22.9,164.55,1.23,0,0.7,0,566,0
AMI242210004,2.0221E+13,20221013,145,2,7.6,5.2,4.9,36.2,22.9,164.56,1.23,0,0.7,0,564,0
AMI242210004,2.0221E+13,20221013,146,2,8.2,5.2,4.9,36,23,164.56,1.23,0,0.7,0,563,0
AMI242210004,2.0221E+13,20221013,147,2,8.2,5.2,4.9,36,22.9,164.56,1.23,0,0.8,0,563,0
AMI242210004,2.0221E+13,20221013,148,2,8.1,5.2,4.9,36.1,22.9,164.55,1.22,0,0.8,0,562,0
AMI242210004,2.0221E+13,20221013,149,2,7.7,4.9,4.7,36,22.9,164.55,1.23,0,0.8,0,562,0
AMI242210004,2.0221E+13,20221013,150,2,7,4.9,4.7,36.1,23,164.56,1.22,0,0.8,0,562,0
AMI242210004,2.0221E+13,20221013,151,2,7,4.9,4.7,36,22.9,164.56,1.22,0,0.8,0,562,0
AMI242210004,2.0221E+13,20221013,152,2,7.1,5,4.7,36.1,22.9,164.56,1.21,0,0.8,0,562,0
AMI242210004,2.0221E+13,20221013,153,2,7.7,5.1,4.8,36,22.8,164.35,1.22,0,0.8,0,560,0
AMI242210004,2.0221E+13,20221013,154,2,7.7,5.5,5.2,36.1,22.9,164.56,1.22,0,0.8,0,559,0
AMI242210004,2.0221E+13,20221013,155,2,7.1,5,4.7,36,22.9,164.56,1.21,0,0.8,0,557,0
AMI242210004,2.0221E+13,20221013,156,2,6.8,4.9,4.7,35.9,22.9,164.56,1.21,0,0.8,0,557,0
AMI242210004,2.0221E+13,20221013,157,2,7.4,5.1,4.8,36,22.8,164.57,1.21,0,1.1,0,556,0
AMI242210004,2.0221E+13,20221013,158,2,7.2,5,4.7,36.1,22.9,164.57,1.21,0,1.1,0,557,0
AMI242210004,2.0221E+13,20221013,159,2,6.6,4.8,4.6,36,22.9,164.56,1.2,0,1.1,0,557,0
AMI242210004,2.0221E+13,20221013,160,2,7.5,4.8,4.6,36,22.8,164.56,1.21,0,1.1,0,557,0
AMI242210004,2.0221E+13,20221013,161,2,7.2,5.3,5,36,23,164.55,1.2,0,1.1,0,557,0
AMI242210004,2.0221E+13,20221013,162,2,7.3,4.9,4.7,36.1,22.8,164.56,1.2,0,1.1,0,557,0
AMI242210004,2.0221E+13,20221013,163,2,7.1,5,4.7,36,22.8,164.56,1.2,0,1.1,0,557,0
AMI242210004,2.0221E+13,20221013,164,2,7.4,5.1,4.8,36.1,22.9,164.57,1.2,0,1.1,0,557,0
