pm10,pm25,pm1,humi,temp,hcho,co,no2,rn,voc,co2
8.3,5.2,4.9,36,22.8,164.58,1.15,0,1.2,0,547
8.3,5.2,4.9,36.1,22.9,164.57,1.15,0,1.2,0,547
6.6,4.6,4.4,36.2,22.9,165.59,1.16,0,1.2,0,544
7.2,4.8,4.6,36.2,22.8,164.98,1.15,0,1.2,0,540
6.5,4.9,4.7,36.2,22.8,164.57,1.15,0,1.2,0,539
6.8,4.9,4.7,36.1,22.8,164.57,1.15,0,1.2,0,538
6.8,4.9,4.7,36.1,22.9,164.58,1.15,0,1.2,0,538
6.8,4.8,4.6,36.1,22.8,164.56,1.15,0,1.2,0,537
8.2,5.1,4.8,36.1,22.8,164.58,1.15,0,1.2,0,537
6.9,4.6,4.4,36.2,22.9,164.58,1.14,0,1.2,0,536
7.4,5.1,4.8,36.1,22.9,164.58,1.14,0,1.5,0,536
7.1,5,4.7,36.3,22.9,164.58,1.14,0,1.5,0,536
8.4,5.2,4.9,36.3,22.9,164.58,1.13,0,1.5,0,536
6.9,4.6,4.4,36.2,22.9,164.59,1.14,0,1.5,0,536
7.3,4.7,4.5,36.2,22.9,164.59,1.13,0,1.5,0,537
7.3,5.1,4.8,36.3,22.8,164.58,1.13,0,1.5,0,537
6.9,4.8,4.6,36.3,22.8,164.59,1.13,0,1.5,0,538
7.3,4.6,4.4,36.2,22.9,164.59,1.13,0,1.5,0,539
6.9,4.7,4.5,36.4,22.8,165,1.14,0,1.5,0,538
6.8,5.3,5,36.2,22.8,164.59,1.12,0,1.5,0,538
6.7,4.7,4.5,36.3,22.8,164.6,1.13,0,1.5,0,537
6.7,4.8,4.6,36.3,22.9,164.59,1.13,0,1.5,0,537
7.1,4.8,4.6,36.3,23,164.59,1.12,0,1.5,0,536
7.1,4.9,4.7,36.1,22.7,164.59,1.12,0,1.5,0,534
6.6,4.7,4.5,36.2,22.8,164.6,1.11,0,1.5,0,533
6.5,4.5,4.3,36.3,22.9,164.6,1.12,0,1.5,0,533
7.4,4.4,4.2,36.3,22.9,164.6,1.12,0,1.5,0,532
7.1,4.8,4.6,36.2,22.8,164.59,1.11,0,1.5,0,531
7.1,4.8,4.6,36.3,22.8,164.59,1.11,0,1.5,0,531
7.2,4.5,4.3,36.3,22.9,164.6,1.11,0,1.1,0,531
7.2,4.5,4.3,36.3,22.8,164.59,1.1,0,1.1,0,530
6.9,4.6,4.4,36.3,22.8,164.59,1.12,0,1.1,0,530
6.9,4.6,4.4,36.3,22.8,164.59,1.1,0,1.1,0,530
7.2,4.7,4.5,36.3,22.8,164.59,1.11,0,1.1,0,529
6,4.5,4.3,36.4,22.9,165.19,1.1,0,1.1,0,529
6,4.5,4.3,36.3,22.8,164.99,1.11,0,1.1,0,529
6.3,4.8,4.6,36.3,22.8,164.59,1.09,0,1.1,0,529
6.7,5,4.7,36.3,22.8,164.59,1.1,0,1.1,0,529
6.3,4.5,4.3,36.4,22.8,164.59,1.1,0,1.1,0,528
6.3,4.5,4.3,36.4,22.8,164.6,1.1,0,1.1,0,528
7.3,4.8,4.6,36.3,22.8,164.6,1.09,0,1.1,0,528
6.2,4.4,4.2,36.3,22.8,164.59,1.09,0,1.1,0,527
7,4.9,4.7,36.3,22.8,164.59,1.08,0,1.1,0,527
7,4.9,4.7,36.3,22.8,164.59,1.09,0,1.1,0,527
7,4.8,4.6,36.3,22.8,164.59,1.08,0,1.1,0,527
6.3,4.6,4.4,36.2,22.8,164.59,1.08,0,1.1,0,526
6,4.3,4.1,36.3,22.8,164.6,1.08,0,1.1,0,526
6,4.4,4.2,36.2,22.8,164.6,1.08,0,1.1,0,525
6.7,4.6,4.4,36.3,22.9,164.59,1.08,0,1.1,0,524
7.2,4.6,4.4,36.3,22.8,164.59,1.07,0,1.1,0,524
6.5,4.5,4.3,36.4,22.8,164.59,1.08,0,1.6,0,523
7,4.7,4.5,36.4,22.9,164.58,1.08,0,1.6,0,522
7,4.7,4.5,36.5,22.8,164.59,1.08,0,1.6,0,522
6.2,4.9,4.7,36.4,22.8,164.59,1.09,0,1.6,0,522
7.2,4.3,4.1,36.4,22.8,164.61,1.08,0,1.6,0,522
7.2,4.3,4.1,36.2,22.8,164.6,1.07,0,1.6,0,522
6.7,4.5,4.3,36.3,22.8,164.6,1.07,0,1.6,0,522
6,4.4,4.2,36.3,22.8,164.61,1.06,0,1.6,0,520
6,4.4,4.2,36.3,22.8,164.61,1.07,0,1.6,0,520
6,4.4,4.2,36.4,22.8,164.61,1.07,0,1.6,0,520
7.2,4.4,4.2,36.5,22.8,164.61,1.06,0,1.4,0,519
6.6,4.4,4.2,36.3,22.8,164.61,1.06,0,1.4,0,519
7.1,4.9,4.7,36.3,22.8,164.61,1.06,0,1.4,0,518
6.2,4.6,4.4,36.4,22.8,164.6,1.06,0,1.4,0,518
7.4,4.8,4.6,36.4,22.7,164.6,1.06,0,1.4,0,517
6.7,4.6,4.4,36.4,22.8,164.61,1.06,0,1.4,0,517
6.7,4.6,4.4,36.3,22.8,165.41,1.06,0,1.4,0,517
6.7,4.6,4.4,36.3,22.8,164.61,1.06,0,1.4,0,517
6,4.3,4.1,36.4,22.8,164.61,1.06,0,1.4,0,516
7.7,4.9,4.7,36.3,22.8,164.61,1.06,0,1.4,0,514
6.2,4.4,4.2,36.4,22.8,164.61,1.06,0,1.4,0,514
7.8,4.2,4,36.3,22.7,164.62,1.05,0,1.4,0,515
6.7,4.5,4.3,36.4,22.8,164.62,1.05,0,1.4,0,515
6.7,4.5,4.3,36.5,22.8,164.62,1.05,0,1.4,0,514
6.2,4.2,4,36.3,22.8,164.62,1.04,0,1.4,0,514
6.2,4.2,4,36.3,22.7,164.62,1.05,0,1.4,0,514
6.3,4.3,4.1,36.3,22.8,164.62,1.05,0,1.4,0,515
6.4,4.7,4.5,36.4,22.7,164.63,1.04,0,1.4,0,515
6.1,4.3,4.1,36.5,22.7,164.63,1.04,0,1.4,0,515
6.8,4.6,4.4,36.4,22.8,164.62,1.03,0,1.5,0,516
6.4,4.5,4.3,36.4,22.8,164.62,1.04,0,1.5,0,516
6.4,4.5,4.3,36.4,22.7,164.63,1.04,0,1.5,0,516
6.9,4.6,4.4,36.4,22.8,164.62,1.04,0,1.5,0,516
6.8,4.6,4.4,36.4,22.8,164.63,1.04,0,1.5,0,516
6.6,4.8,4.6,36.3,22.8,164.63,1.04,0,1.5,0,516
6.7,4.3,4.1,36.4,22.7,164.63,1.03,0,1.5,0,516
7,4.3,4.1,36.5,22.8,164.63,1.03,0,1.5,0,515
6.5,4.6,4.4,36.6,22.8,164.63,1.03,0,1.5,0,515
6.3,4.5,4.3,36.5,22.8,164.62,1.03,0,1.5,0,514
6.5,4.2,4,36.6,22.7,164.62,1.03,0,1.5,0,514
6.9,4.6,4.4,36.4,22.8,164.63,1.03,0,2,0,513
6.9,4.6,4.4,36.4,22.8,164.63,1.02,0,2,0,513
6.5,4.8,4.6,36.6,22.8,164.62,1.02,0,2,0,512
6.3,4.3,4.1,36.5,22.8,164.62,1.02,0,2,0,512
6.4,4.4,4.2,36.4,22.7,164.63,1.02,0,2,0,512
6.9,4.6,4.4,36.4,22.7,164.63,1.02,0,2,0,511
6.8,4.2,4,36.4,22.8,164.63,1.02,0,2,0,510
6.3,4.4,4.2,36.5,22.8,164.63,1.02,0,2,0,509
6.3,4.4,4.2,36.5,22.6,164.63,1.01,0,2,0,509
6,4.2,4,36.5,22.9,164.63,1.01,0,1.8,0,508
6.1,4.2,4,36.5,22.8,164.63,1.01,0,1.8,0,508
6.1,4.2,4,36.5,22.8,164.64,1,0,1.8,0,508
6.1,4.2,4,36.5,22.7,164.63,1.01,0,1.8,0,508
6,4.2,4,36.6,22.8,137.19,0.84,0,1.8,0,507
