tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
20190911,8,40,697,15.4,532,0.8,18.4,0.021,26,278.5,,132
20190422,9,,,0,,,,,,,19.7,337
20190422,9,,,0,,,,,,,15.6,298
20191112,0,19.1,847,7.6,321,1.8,9,,,,,
20191112,0,29.6,615,13.4,408,1.7,15.9,,,,,
20191113,14,18.4,703,14.9,130,1.7,12.6,0.02,44.3,99.1,,128
20191113,18,17,681,9.9,282,1.5,10.6,0.012,47.7,191.8,,265
20190731,15,23.2,517,13.8,530,1.3,7.4,,,,,
20190731,16,25.5,717,21.4,217,1.2,9.5,,,,,
20191218,13,31.1,792,17.6,14,1.9,17.3,,,,,
20191218,13,28.9,875,29.1,382,2.3,16.4,,,,,
20191223,13,27.2,988,13.4,413,2.2,16.1,,,,,
20191223,13,41.2,943,6.9,513,2.3,24.3,,,,,
20190507,10,,,0,,,,,,,8.6,285
20190507,10,,,0,,,,,,,9.7,190
20191218,13,23.5,664,12.4,55,2.3,13.5,,,,,
20191218,9,19.6,864,9.8,161,1.9,10.9,,,,,
20191115,10,9.6,785,12.5,343,0.5,5.8,,,,,
20191115,9,9.1,540,7.6,223,0.7,6.8,,,,,
20191217,13,32.1,921,12.5,290,3.6,19.1,,,,,
20191217,13,22,936,13.2,78,2.8,13.3,,,,,
20191112,8,32.4,800,17,384,2.6,12.9,,,,,
20191112,8,30.1,820,7.1,342,0.4,10.3,,,,,
20190701,15,26.3,679,14.1,1246,1.3,,,,,17.6,
20190701,16,29.4,503,12.4,201,1.3,,,,,18.8,
20191125,9,5.7,725,7.7,264,3.3,3.5,,,,,
20191125,9,6.8,718,11.8,231,2.2,4,,,,,
20191125,0,7.7,859,39.6,335,2,4.7,,,,,
20191125,9,10.6,847,22.7,397,1.7,6,,,,,
20191215,0,14.6,639,10.5,154,1.3,7.5,,,,,
20191125,13,10.8,829,17.7,154,2.3,5.6,,,,,
20191129,14,,800,19.1,270.5,0.7,,0.005,,458.8,,132.8
20191129,15,,721,12.6,159.4,0.9,,0.007,,377,,96.3
20191231,12,34.1,,0,,,16.6,,,,,
20191231,12,31.6,,0,,,16,,,,,
20191129,14,,,0,,,,,30,,,
20191129,15,,,0,,,,,30,,,
20191129,11,39.5,508,11.5,29.1,0.9,14.7,0.006,,366.1,,32.3
20191129,12,35.5,853,15.1,55.7,0.6,13.6,0.007,,384.3,,78.6
20191129,11,,,0,,,,,33,,,
20191129,12,,,0,,,,,33,,,
20191128,14,41.6,697,11.3,24.1,0.8,15.9,0.008,,103.7,,69
20191128,13,48,794,31.4,37.4,0.5,17.9,0.01,,115.9,,70
20191128,13,,,0,,,,,50,,,
20191128,14,,,0,,,,,33,,,
20191128,9,44,641,18,40.5,0.9,23.4,0.005,,101.1,,64.8
20191128,11,47.6,523,21,65,0.6,25.1,0.008,,101.4,,87.1
20191128,11,,,0,,,,,50,,,
20191128,9,,,0,,,,,55,,,
20191129,9,26.4,674,17.8,36.4,1.2,14.4,0.009,,75,,88.6
20191129,10,34.5,605,16.5,67.1,1,13.3,0.008,,71.7,,36.8
20191129,9,,,0,,,,,33,,,
20191129,10,,,0,,,,,33,,,
20191202,14,20.9,818,19.6,322,2.3,12.4,,,,,
20191202,15,17.8,625,10.5,435,2.1,9.4,,,,,
20191202,10,10.3,322,5.7,249,1.7,7.4,0.005,90.3,18.6,,110
20191202,12,9.4,442,9.2,241,1.6,7.9,0.004,48,19.7,,145
20191203,15,7.3,663,18,84,2.4,5.3,,,,,
20191203,14,6.1,836,27.8,44,2.4,3.8,,,,,
20191204,14,8.4,861,18.7,348,2.1,6.4,,,,,
20191204,13,12.6,577,9.3,156,2,7.3,,,,,
20191202,15,9,498,16.4,186,1.3,6.4,,,,,
20191202,10,5.6,541,22.6,301,1.5,3.7,,,,,
20191202,10,5.3,766,9.6,175,1.9,1.7,,,,,
20191202,9,4.5,951,22.6,128,1.5,2.2,,,,,
20190808,9,41.4,638,33.9,633,0.6,20.1,0.02,31,355.9,,189
20190808,9,45.2,575,28.6,766,0.4,22,0.019,35.2,333.2,,177
20190812,9,45.2,540,63.5,635,0.5,21,0.022,65,266.5,,252
20190812,9,43.6,554,57.4,571,0.5,19.9,0.028,41,334.6,,237
20190813,9,43.6,598,67.2,639,0.4,20,0.017,53.6,105.3,,208
20190813,8,50,588,62.7,699,0.8,22,0.02,57,88.9,,386
20190812,8,46.6,743,68,642,0.6,20.6,,,,,
20190812,8,42.3,645,47,532,0.4,20.2,,,,,
20191206,9,28.7,793,11.4,475,1.5,15,0.008,37,84.1,,231
20191206,9,23.6,841,14.5,513,2.1,12.1,0.005,42,133.5,,238
20191229,12,16.1,471,22.3,548,1.3,16.2,,,,,
20191229,11,24.5,474,17.8,529.6,1.5,20.5,,,,,
20191226,12,21,592,11.3,56,2.6,13.1,,,,,
20191226,12,24.9,570,8.3,63,2.7,14.5,,,,,
20190703,10,23.5,555,13.7,182,1.7,14.6,0.007,122.4,266.5,,219
20190703,10,39.8,860,14.3,226,1.7,20.9,0.005,56.1,171.7,,267
20191211,9,52.3,931,20.6,164,2.8,29.8,0.014,120.5,135.4,,334
20191211,9,37.1,900,19.7,162,2.8,21,0.018,121.8,170.7,,401
20190809,9,49.1,851,30.7,460,0.7,22.5,0.006,98.1,235.2,,444
20190809,9,43.5,804,28.6,557,0.2,19.9,0.004,111.5,156.6,,280
20191025,13,20.7,586,9.5,329,1.2,10.9,,,,,
20191025,13,8.1,436,5.7,463,1.2,10.7,,,,,
20190703,13,42.4,683,29.9,403,1.4,27.7,0.007,60.1,151.2,,281
20190703,13,21.3,629,37.4,233,1.7,18.6,0.005,72.5,223.1,,302
20191025,12,16,673,14.9,426,1.2,11.4,,,,,
20191025,12,25.1,748,22.6,251,1.4,16.4,,,,,
20191014,10,20,674,2.5,508,1.5,10.9,0.01,28.3,52.3,,463
20191014,10,18.1,805,9.2,656,1.6,6.9,0.013,40,52,,475
20191014,13,12.6,870,5.9,196,1.2,5.7,0.008,32.5,98.4,,350
20191014,13,14.4,789,5.7,717,1.4,9.3,0.008,23.1,60.7,9.3,386
20191024,12,63.5,480,8.1,662,1.1,12.3,0.011,60.8,10.7,,226
20191024,12,65.2,584,11.9,339,1.2,4,0.013,129.8,13.8,,443
20191230,9,27.1,673,13.9,242,1.8,14,,,,,
20191230,9,32.8,873,21.9,311,1.5,17,,,,,
20191016,13,16.1,903,17.9,337,1.4,9.9,0.015,27.8,143.6,,281
20191016,13,25,640,5.8,139,1.2,14.8,0.025,23.1,73,,326
20191226,9,25.2,967,12.5,492,3.7,16.6,0.022,34.8,135.6,,447
20191226,9,21.7,957,8,381,2.5,13.2,0.018,38.3,148.2,,165
20191224,9,29.4,911,10.1,47,3,17.4,,,,,
20191224,9,14.3,832,10.3,82,2.4,8.6,,,,,
20191024,11,67.9,790,27.5,370,1.2,13.7,0.007,53.4,16.1,,397
20191024,11,59.1,812,18.9,172,1.1,8.8,0.006,50,21.1,,450
20190827,10,48.7,564,16.1,197,1.8,21.7,,,,,
20190827,18,43.4,760,10.3,167,0.9,19.8,,,,,
20190919,8,41.8,535,31.4,552,1.1,17.9,,,,,
20190919,8,40.7,541,18.8,558,1.3,15.9,,,,,
20191024,12,57.5,482,9.7,464,1.2,17.2,0.006,43.2,10.4,,375
20191024,12,49.8,462,3.1,490,1.3,14.1,0.003,36.3,12,,446
20191016,10,11.8,515,6.6,119,1.2,4.9,0.018,48.1,70.3,,444
20191016,10,14.4,664,7.1,614,1.2,6.5,0.013,44.4,76.2,,437
20190807,9,51.1,678,40.3,747,0.5,22,0.011,105.9,153.4,,198
20190807,9,47.5,657,44.6,762,0.6,19.8,0.013,52.3,227,,246
20191016,16,25.2,545,8.8,141,1.2,14.9,0.009,22.2,84.4,,318
20191016,16,25,756,19.9,616,1.7,14,0.02,28.3,77.6,,424
20191021,8,22.6,625,23.4,508,2.3,11.4,0.01,53.9,90.4,,238
20191021,8,25.9,624,26,417,2.2,7.2,0.008,42.9,93.9,,212
20191125,14,7.4,633,18.3,54,1.1,5.3,,,,,
20191125,13,10.5,799,27,164,1.8,5.8,,,,,
20191014,12,28.3,750,16.3,572,1.5,8.3,0.004,24.9,24,,109
20191014,11,26.1,576,7,432,1.9,10.6,0.006,38.9,16.1,,112
20191004,13,15,546,10.7,73,1.4,5.5,,,,,
20191004,19,20.2,602,14.8,66,1.7,7.3,,,,,
20190813,8,45.3,571,52.5,523,0.7,19.7,,,,,
20190813,8,40.5,476,62.9,689,1.2,18.9,,,,,
20191218,9,12.4,984,57.4,191,2.5,4.8,0.009,91,351.6,,273
20191218,10,10,917,65.6,222,2.4,5.1,0.006,100.9,212.1,,165
20191226,11,14.8,675,38.2,445.2,1.3,21.3,0.039,85.6,420.9,21.3,30.6
20191226,12,12.9,663,75.6,343,1.1,11.5,0.027,112.9,324.2,11.5,21.2
20191128,12,21.5,685,8.7,317,0.8,11.5,,,,,
20191128,13,16.4,881,10.8,789,0.8,13.4,,,,,
20190905,9,43.6,712,33.3,562,1.1,18.8,,,,,
20190905,9,38.2,617,28.6,340,0.9,15.2,,,,,
20191220,14,24.2,674,10,459,1,12.6,,,,,
20191220,14,27.3,703,18.1,347,1,17.1,,,,,
20190812,9,42.8,899,50.3,498,1.6,18.8,,,,,
20190812,9,49.7,901,38.4,620,1.2,19.4,,,,,
20191129,13,19.1,621,6.3,194.6,1,10.9,0.026,127,119.8,,155.3
20191129,13,20.2,656,14.2,632.8,0.8,9.4,0.021,121.2,199.6,,126.2
20191129,13,14.9,607,34.5,303.5,0.6,10.4,,,,,
20191129,13,16.4,655,31.2,237.6,0.6,11.1,,,,,
20191217,12,24.7,636,9.6,315,1.2,12.5,0.01,144,85.7,,234
20191217,12,28.9,609,24.2,734,1.4,13.7,0.01,118,80.3,,320
20191111,9,25.2,653,35.6,356,1.7,18.5,0.011,57,113.8,,185
20191111,9,22.4,747,44.1,769,1.4,18,0.008,48,126.7,,224
20191210,9,42.8,823,9.2,305,3.1,25,0.014,82.5,82.2,,486
20191210,9,47.1,922,14.4,385,2.6,29.4,0.01,87.8,125.8,,492
20191210,13,14,923,15.4,70,2.4,7.3,0.021,114.5,154.1,,59
20191210,13,35.3,854,14,35,2,20.2,0.012,32.7,120.7,,83
20191111,8,23.2,639,41.2,780,1.2,11.3,,,,,
20191111,9,22,546,19.3,691,1.4,9.5,,,,,
20191111,12,23.6,648,33.6,726,1.2,11.8,0.02,45,103.6,,213
20191111,12,25.1,677,12.1,666,1.4,15.6,0.021,49,70.6,,207
20191106,12,30.4,715,15.6,557,0.9,15.8,,,,,
20191106,13,23,687,19.1,660,1.2,11.2,,,,,
20191106,9,28.2,531,16.4,497,1.2,17,,,,,
20191106,9,24.2,558,41,539,1.3,14.3,,,,,
20190902,16,44.8,617,52.5,516,0.5,18.8,0.023,72,356.8,,168
20190902,9,49.3,564,40.8,518,0.3,20,0.018,51,288.6,,187
20191008,13,17,795,5.2,432,2.4,13.8,0.02,10.3,20.1,,484
20191008,13,12.1,791,3.6,532,2.4,9.2,0.018,27.5,23.2,,406
20191223,13,14.1,788,41,234,2.3,7.1,0.023,25.1,206.1,,42
20191223,9,11.1,766,33.2,196,2.2,5.9,0.03,21.1,106.3,,27
20191227,13,25,729,12.2,504,0.6,18.5,,,,,
20191227,12,28.9,376,4.1,114.2,0.7,13.5,,,,,
20191231,11,21.2,665,7.4,130,0.9,13.6,0.002,35.9,124.8,,87
20191231,11,17.7,682,5.9,104,1,9.7,0.003,71.7,237.5,,67
20191111,10,27.9,569,22.5,750,1.3,24,,,,,
20191111,10,34.4,788,21.6,554,1.3,12.8,,,,,
20191211,14,17.6,765,15.4,427.1,0.7,11.2,0.018,42.2,161.6,,113.5
20191211,14,17.4,794,20.1,750.2,0.5,10,0.016,40.5,137,,158.8
20191114,10,64.3,814,17.1,721,1.7,23,0.014,19.1,149.6,,292
20191114,10,62.3,836,15.1,686,1.5,21.2,0.014,26.1,109.2,,238
20190903,10,67.7,782,46.8,640,1.6,25.8,0.019,19.9,218.9,,261
20190903,10,61.9,889,30.3,235,2.3,20.7,0.022,44,242.6,,84
